time,channel_idx
1000.9765625,-1
1003.90625,-1
1006.8359375,-1
1007.32421875,-1
1010.7421875,-1
1014.16015625,-1
1014.6484375,-1
1017.578125,-1
1021.484375,-1
1025.390625,-1
3200.68359375,-1
3205.56640625,-1
3208.0078125,-1
3210.44921875,-1
3212.890625,-1
3215.8203125,-1
3218.75,-1
3219.23828125,-1
3222.65625,-1
3226.07421875,-1
3226.5625,-1
3229.98046875,-1
3233.88671875,-1
3237.3046875,-1
4123.53515625,-1
4125.9765625,-1
4128.41796875,-1
4130.859375,-1
4132.8125,-1
4135.7421875,-1
4138.671875,-1
4141.6015625,-1
4142.08984375,-1
4145.5078125,-1
4148.4375,-1
4148.92578125,-1
4152.34375,-1
4156.73828125,-1
4160.15625,-1
4765.625,-1
4768.06640625,-1
4770.5078125,-1
4772.4609375,-1
4775.390625,-1
4778.3203125,-1
4781.25,-1
4785.15625,-1
4788.57421875,-1
4789.0625,-1
4791.9921875,-1
4799.8046875,-1
6666.9921875,-1
6669.43359375,-1
6671.875,-1
6674.31640625,-1
6676.26953125,-1
6679.19921875,-1
6682.12890625,-1
6684.5703125,-1
6685.05859375,-1
6688.96484375,-1
6691.89453125,-1
6692.3828125,-1
6695.80078125,-1
6703.61328125,-1
7210.9375,-1
7213.8671875,-1
7216.30859375,-1
7218.75,-1
7221.19140625,-1
7223.6328125,-1
7226.5625,-1
7229.4921875,-1
7229.98046875,-1
7233.3984375,-1
7236.328125,-1
7236.81640625,-1
7240.234375,-1
7244.140625,-1
8090.8203125,-1
8093.26171875,-1
8095.21484375,-1
8097.65625,-1
8098.14453125,-1
8101.07421875,-1
8104.00390625,-1
8104.4921875,-1
8107.91015625,-1
8108.3984375,-1
8111.328125,-1
8111.81640625,-1
8114.74609375,-1
8115.72265625,-1
8118.65234375,-1
8122.55859375,-1
9333.49609375,-1
9336.42578125,-1
9338.8671875,-1
9341.30859375,-1
9343.26171875,-1
9343.75,-1
9345.703125,-1
9348.6328125,-1
9351.5625,-1
9354.4921875,-1
9358.3984375,-1
9358.88671875,-1
9361.328125,-1
9361.81640625,-1
9366.2109375,-1
9370.1171875,-1
9373.046875,-1
9670.8984375,-1
9673.828125,-1
9676.26953125,-1
9678.7109375,-1
9680.6640625,-1
9683.59375,-1
9686.5234375,-1
9689.453125,-1
9689.94140625,-1
9693.359375,-1
9693.84765625,-1
9696.77734375,-1
9697.265625,-1
9700.1953125,-1
10502.9296875,-1
10505.37109375,-1
10508.30078125,-1
10511.23046875,-1
10515.13671875,-1
10515.625,-1
10518.5546875,-1
10519.04296875,-1
10521.97265625,-1
10525.87890625,-1
10529.78515625,-1
11112.3046875,-1
