time,channel_idx
303.6,7
540.9,7
782.6,7
1063.8,7
1427.1000000000001,1
1430.4,1
1433.3,1
1434.7,7
1462.8,1
2050.0,7
2052.3,7
2286.2000000000003,7
2791.1,1
2793.7000000000003,1
2793.8,8
2794.2000000000003,4
2800.6,1
2874.1,1
2881.6,1
2884.5,8
2884.8,1
2886.3,7
2887.1,1
2896.9,1
2899.4,1
2902.0,1
2902.3,8
3244.0,7
3622.7000000000003,7
3976.9,7
4206.7,7
4212.6,1
4212.6,6
4480.400000000001,7
4911.0,7
4999.3,1
5002.2,4
5003.900000000001,1
5005.8,8
5007.1,7
5007.8,1
5010.6,1
5013.0,1
5014.5,6
5015.1,1
5016.6,4
5016.6,8
5017.900000000001,1
5018.5,7
5020.1,1
5026.7,1
5030.0,1
5510.900000000001,7
5887.5,1
5888.0,8
5890.5,1
5896.1,8
5898.900000000001,1
5901.2,1
5903.7,1
5904.6,4
5905.1,8
5906.0,1
5906.6,7
5908.0,4
5908.6,1
5909.7,7
5910.3,4
5911.400000000001,1
5912.900000000001,4
5913.3,7
5913.900000000001,1
5915.400000000001,4
5916.6,1
5917.0,6
5917.2,7
5918.0,4
5918.8,1
5920.0,7
5921.5,1
5921.5,4
5922.900000000001,7
5923.900000000001,1
5924.5,4
5925.7,7
5926.5,1
5926.900000000001,4
5928.1,7
5928.8,1
5929.8,4
5930.3,7
5931.6,1
5933.5,4
5933.7,1
5935.8,4
5936.6,1
5937.1,7
5938.1,4
5940.1,1
5941.1,7
5943.400000000001,1
5944.1,7
5945.5,1
5946.7,7
5946.900000000001,4
5948.7,1
5951.900000000001,7
5952.8,1
5954.6,4
5954.900000000001,1
5957.2,1
5957.400000000001,7
5959.6,4
5960.1,1
5960.3,7
5962.1,4
5963.7,1
5964.3,4
5964.8,7
5966.5,1
5966.5,4
5968.6,1
5970.6,4
5971.3,1
5974.0,4
5974.6,1
5975.5,7
5978.2,1
5987.400000000001,7
5988.7,1
5991.6,1
5993.7,1
6001.1,1
6009.3,1
6009.5,7
6011.6,1
6013.400000000001,7
6014.400000000001,4
6015.7,1
6015.8,7
6018.400000000001,1
6020.7,1
6033.3,1
6964.400000000001,1
8121.5,1
9839.300000000001,4
9853.800000000001,1
9855.800000000001,8
10498.0,1
10508.300000000001,1
10516.4,8
10517.9,1
10519.5,7
10549.0,1
10586.7,1
10586.7,6
12088.800000000001,7
13047.0,7
13654.300000000001,7
13765.5,4
13766.1,1
13766.800000000001,8
13769.5,1
13772.9,1
13776.4,1
13779.1,7
13807.800000000001,7
14313.800000000001,7
14549.800000000001,7
14861.5,7
15127.9,7
15131.4,1
15132.0,7
15526.0,7
15715.6,8
15956.0,7
16203.800000000001,7
16523.2,7
16771.5,7
17219.7,7
17240.6,7
17462.7,7
17857.7,7
18225.100000000002,7
18451.9,7
18738.5,7
18762.3,1
18767.0,1
18770.3,1
18772.3,8
18773.0,1
18782.3,1
18793.4,1
18797.4,1
18799.8,1
18809.600000000002,1
18812.9,1
19158.2,7
19713.7,7
19970.5,7
20208.8,7
20514.9,7
20728.9,1
20731.4,7
20733.100000000002,1
20736.3,1
20750.100000000002,1
20753.600000000002,1
20755.9,1
20757.4,8
20757.9,6
20758.3,1
20758.4,7
21057.4,7
21225.100000000002,7
21857.0,7
22067.5,1
22070.4,1
22071.5,4
22071.9,7
22072.8,1
22074.9,1
22075.0,4
22076.100000000002,7
22077.2,1
22081.0,1
22082.7,7
22083.5,1
22085.0,7
22085.8,1
22087.9,1
22089.0,7
22090.7,1
22090.8,6
22094.4,1
22096.7,1
22098.9,1
22177.600000000002,1
22179.4,8
22179.600000000002,4
22184.9,1
22188.100000000002,1
22190.2,1
22190.4,8
22190.7,4
22190.8,7
22192.4,1
22193.600000000002,7
22194.8,1
22197.0,1
22198.9,4
22199.8,7
22200.4,1
22201.9,7
22202.0,8
22202.7,1
22204.3,7
22205.3,1
22207.9,1
22208.9,7
22209.100000000002,8
22212.4,1
22215.3,1
22217.9,1
22233.8,1
22692.8,7
23325.7,7
23334.2,1
23476.9,7
23481.0,1
23712.100000000002,7
24069.5,7
24641.9,3
25215.9,7
26592.2,7
26596.2,8
26604.0,7
26725.7,4
26726.8,1
26727.9,7
26728.9,1
26729.100000000002,8
26730.0,7
26731.2,1
26734.9,1
26767.100000000002,1
27402.0,7
27667.0,7
28196.600000000002,7
28600.3,7
29046.600000000002,7
29059.9,7
29466.9,7
29556.9,7
29601.0,1
29601.0,4
29601.3,7
29602.100000000002,8
29603.4,1
29604.8,7
29605.100000000002,4
29605.5,1
29606.2,6
29606.600000000002,8
29608.0,7
29608.4,1
29610.8,1
29611.7,7
29613.100000000002,1
29614.100000000002,7
29615.5,1
29616.7,7
29621.9,1
29624.100000000002,7
29624.2,1
29624.2,6
29626.2,7
29626.600000000002,1
29633.8,1
30709.4,7
30787.3,1
30789.7,1
30799.600000000002,8
30824.4,1
30827.8,1
30829.9,1
30831.100000000002,8
30832.0,4
30833.600000000002,7
30834.0,1
30837.5,1
30839.8,4
30842.100000000002,1
30843.600000000002,4
31469.5,7
32343.5,7
32355.0,1
32355.0,7
32357.100000000002,1
32922.1,7
33291.4,1
33294.4,1
33404.5,1
33404.5,4
33405.0,7
33405.8,8
33406.7,4
33407.0,1
33407.3,7
33408.5,6
33408.8,4
33409.7,8
33410.0,1
33410.8,7
33412.6,1
33414.3,7
33414.8,1
33417.3,1
33418.0,4
33419.4,1
33419.6,7
33419.9,8
33420.6,4
33421.9,7
33422.8,4
33422.9,1
33424.2,7
33425.7,1
33426.3,4
33428.2,1
33429.5,7
33430.2,4
33430.5,1
33432.0,7
33432.7,4
33433.4,1
33434.1,7
33434.9,4
33435.8,1
33438.1,4
33438.3,1
33440.4,4
33441.6,1
33442.8,4
33443.8,1
33445.1,4
33445.5,7
33446.5,1
33448.6,1
33449.8,4
33450.9,1
33452.8,4
33453.4,1
33454.7,7
33455.6,1
33458.2,4
33459.2,1
33461.8,4
33462.0,1
33462.7,7
33464.3,1
33464.9,4
33467.5,1
33470.1,4
33470.2,1
33472.3,1
33474.9,7
33475.2,4
33476.3,1
33478.8,1
33479.0,4
33482.7,7
33483.5,1
33486.2,1
33488.3,1
33489.9,4
33490.9,1
33501.4,1
33515.8,1
33518.6,1
33597.5,1
33652.0,1
36184.5,4
36191.200000000004,1
36358.8,4
36420.6,4
36476.4,4
36505.3,4
36527.1,4
36558.4,4
36691.200000000004,4
36878.4,1
36899.3,4
37043.3,1
37048.0,1
37059.0,1
39633.9,7
41401.6,1
41402.700000000004,8
41404.3,7
41405.1,1
