time,channel_idx
4.8828125,-1
6.8359375,-1
7.32421875,-1
7.8125,-1
9.765625,-1
10.25390625,-1
13.671875,-1
14.16015625,-1
18.06640625,-1
22.4609375,-1
25.390625,-1
29.296875,-1
31.73828125,-1
33.203125,-1
33.69140625,-1
37.59765625,-1
39.55078125,-1
40.0390625,-1
44.43359375,-1
48.33984375,-1
51.7578125,-1
54.6875,-1
58.59375,-1
61.03515625,-1
62.98828125,-1
65.4296875,-1
67.3828125,-1
69.82421875,-1
78.125,-1
87.40234375,-1
89.84375,-1
93.26171875,-1
96.6796875,-1
98.6328125,-1
101.07421875,-1
104.00390625,-1
106.93359375,-1
110.3515625,-1
117.1875,-1
124.0234375,-1
126.46484375,-1
128.90625,-1
135.7421875,-1
138.18359375,-1
145.01953125,-1
155.76171875,-1
158.69140625,-1
163.57421875,-1
166.50390625,-1
166.9921875,-1
169.921875,-1
170.41015625,-1
174.31640625,-1
177.24609375,-1
186.03515625,-1
188.4765625,-1
192.3828125,-1
194.82421875,-1
196.77734375,-1
197.265625,-1
199.21875,-1
199.70703125,-1
203.61328125,-1
206.0546875,-1
215.33203125,-1
218.26171875,-1
221.6796875,-1
222.16796875,-1
224.609375,-1
232.421875,-1
235.3515625,-1
239.74609375,-1
241.69921875,-1
249.51171875,-1
251.953125,-1
252.44140625,-1
254.8828125,-1
256.8359375,-1
259.27734375,-1
263.671875,-1
268.5546875,-1
271.484375,-1
274.4140625,-1
274.90234375,-1
276.85546875,-1
277.34375,-1
286.62109375,-1
289.55078125,-1
291.9921875,-1
294.921875,-1
297.36328125,-1
301.26953125,-1
304.19921875,-1
308.59375,-1
314.94140625,-1
316.89453125,-1
319.3359375,-1
323.73046875,-1
328.125,-1
331.54296875,-1
334.47265625,-1
336.9140625,-1
338.37890625,-1
338.8671875,-1
342.7734375,-1
346.19140625,-1
352.05078125,-1
354.4921875,-1
358.3984375,-1
360.83984375,-1
365.234375,-1
367.67578125,-1
370.1171875,-1
374.0234375,-1
375.9765625,-1
376.46484375,-1
378.90625,-1
379.39453125,-1
382.32421875,-1
384.27734375,-1
386.71875,-1
388.671875,-1
390.625,-1
391.11328125,-1
394.53125,-1
396.97265625,-1
400.87890625,-1
403.3203125,-1
408.69140625,-1
410.15625,-1
410.64453125,-1
412.59765625,-1
415.0390625,-1
428.7109375,-1
431.15234375,-1
433.59375,-1
435.546875,-1
437.98828125,-1
441.89453125,-1
448.2421875,-1
450.68359375,-1
454.58984375,-1
456.54296875,-1
460.44921875,-1
462.40234375,-1
462.890625,-1
464.84375,-1
466.796875,-1
474.609375,-1
476.5625,-1
479.00390625,-1
480.95703125,-1
482.91015625,-1
490.72265625,-1
492.67578125,-1
495.1171875,-1
499.0234375,-1
502.9296875,-1
508.7890625,-1
511.71875,-1
515.13671875,-1
