time,channel_idx
1005.37109375,63
1008.7890625,63
1012.20703125,63
1012.6953125,63
1016.11328125,63
1020.5078125,63
13357.421875,63
13359.375,63
13359.86328125,63
13362.3046875,63
13362.79296875,63
13365.72265625,63
13370.1171875,63
13372.55859375,63
19777.34375,63
19780.2734375,63
19783.69140625,63
27168.9453125,63
27170.8984375,63
27171.38671875,63
27173.828125,63
27174.31640625,63
27177.24609375,63
27184.5703125,63
27187.98828125,63
29808.59375,63
29811.03515625,63
29813.4765625,63
29829.1015625,63
29833.0078125,63
29836.42578125,63
29839.35546875,63
29843.75,63
29848.14453125,63
32293.45703125,63
32295.8984375,63
32298.33984375,63
32298.828125,63
32301.7578125,63
32305.6640625,63
32309.08203125,63
32312.5,63
33736.328125,63
34437.01171875,63
34633.30078125,63
34635.7421875,63
34638.18359375,63
34640.625,63
34643.5546875,63
34646.484375,63
34649.90234375,63
34653.80859375,63
34657.2265625,63
34661.1328125,63
36347.65625,63
37800.29296875,63
37804.6875,63
37807.6171875,63
37810.05859375,63
37810.546875,63
37813.4765625,63
37816.89453125,63
37820.3125,63
37824.21875,63
41012.6953125,63
41015.13671875,63
41017.578125,63
41019.53125,63
41022.4609375,63
41025.390625,63
41029.296875,63
41032.71484375,63
41036.1328125,63
44080.56640625,63
44083.0078125,63
44085.44921875,63
44085.9375,63
44089.35546875,63
44092.28515625,63
44095.703125,63
44099.12109375,63
48664.0625,63
50809.08203125,63
52335.9375,63
52338.8671875,63
52341.30859375,63
52341.796875,63
61536.1328125,63
61538.57421875,63
61539.0625,63
61541.9921875,63
61545.8984375,63
61549.31640625,63
62797.36328125,63
63773.4375,63
67559.08203125,63
67562.01171875,63
67564.94140625,63
67568.84765625,63
67572.265625,63
67575.68359375,63
70444.3359375,63
70446.77734375,63
70449.21875,63
70451.66015625,63
70454.1015625,63
70457.03125,63
70459.9609375,63
70463.8671875,63
70464.35546875,63
70467.7734375,63
70471.6796875,63
73416.50390625,63
73498.046875,63
73501.953125,63
73504.8828125,63
73507.32421875,63
73507.8125,63
73510.7421875,63
73514.6484375,63
73518.06640625,63
73521.484375,63
75364.74609375,63
76018.06640625,63
77426.26953125,63
77428.7109375,63
77433.10546875,63
77435.546875,63
77436.03515625,63
77438.4765625,63
77438.96484375,63
77446.2890625,63
80665.0390625,63
80667.48046875,63
80669.921875,63
80670.41015625,63
80673.33984375,63
80677.24609375,63
80680.6640625,63
80684.08203125,63
80709.47265625,63
82426.26953125,63
83475.5859375,63
84169.43359375,63
84171.875,63
86061.03515625,63
86066.40625,63
86069.3359375,63
86072.75390625,63
86076.66015625,63
86080.078125,63
88457.51953125,63
88459.9609375,63
88462.40234375,63
88462.890625,63
88476.5625,63
90907.2265625,63
90909.66796875,63
90912.109375,63
90912.59765625,63
93784.66796875,63
93788.0859375,63
93791.50390625,63
93794.921875,63
93798.828125,63
94847.65625,63
95893.06640625,63
98575.68359375,63
98578.125,63
98578.61328125,63
98581.0546875,63
98581.54296875,63
98584.47265625,63
98588.37890625,63
98591.796875,63
98595.21484375,63
101228.02734375,63
101230.46875,63
101232.421875,63
101235.3515625,63
101237.79296875,63
101238.28125,63
101241.2109375,63
101245.1171875,63
101249.0234375,63
101251.953125,63
101902.34375,63
102168.9453125,63
104127.9296875,63
104240.234375,63
104771.97265625,63
114570.80078125,63
114573.2421875,63
114575.68359375,63
114576.171875,63
114579.1015625,63
114582.51953125,63
114585.9375,63
