time,channel_idx
4153.3203125,63
4155.76171875,63
4165.52734375,63
7249.0234375,63
7272.4609375,63
7273.92578125,63
7285.15625,63
7286.62109375,63
13386.23046875,63
13397.4609375,63
13398.92578125,63
16553.7109375,63
16554.6875,63
16555.6640625,63
16556.640625,63
16564.94140625,63
16565.4296875,63
16565.91796875,63
16566.40625,63
16566.89453125,63
16567.3828125,63
16567.87109375,63
16568.359375,63
16568.84765625,63
16577.1484375,63
16577.63671875,63
16578.125,63
16578.61328125,63
16579.1015625,63
16579.58984375,63
16580.078125,63
16581.0546875,63
16589.35546875,63
16590.33203125,63
16591.30859375,63
16606.4453125,63
17410.64453125,63
17992.1875,63
18169.43359375,63
18180.17578125,63
18375.9765625,63
18928.22265625,63
19090.8203125,63
19542.48046875,63
19783.69140625,63
20202.1484375,63
21666.50390625,63
22318.359375,63
22545.41015625,63
22551.7578125,63
22558.59375,63
22559.5703125,63
22565.4296875,63
22566.89453125,63
25450.1953125,63
25461.9140625,63
25476.07421875,63
25558.59375,63
25683.59375,63
25746.09375,63
26075.1953125,63
26765.625,63
27142.578125,63
27154.296875,63
27166.015625,63
27166.9921875,63
27167.96875,63
27169.921875,63
27181.15234375,63
27181.640625,63
27182.12890625,63
27183.10546875,63
27193.359375,63
27196.2890625,63
27210.44921875,63
28319.3359375,63
28417.48046875,63
28901.85546875,63
29204.58984375,63
29287.109375,63
29728.515625,63
29737.3046875,63
29836.9140625,63
30261.71875,63
30642.578125,63
30736.81640625,63
30948.2421875,63
31290.52734375,63
31591.30859375,63
31830.56640625,63
31876.953125,63
32137.6953125,63
32264.16015625,63
32274.4140625,63
32275.87890625,63
32283.69140625,63
32292.96875,63
32293.9453125,63
32294.921875,63
32295.8984375,63
32311.5234375,63
32312.5,63
32312.98828125,63
32313.4765625,63
32313.96484375,63
32314.453125,63
32314.94140625,63
32323.73046875,63
32324.70703125,63
32325.68359375,63
32326.66015625,63
32335.9375,63
33549.31640625,63
33990.72265625,63
34000.0,63
37795.41015625,63
37805.17578125,63
37817.87109375,63
37830.078125,63
37842.28515625,63
39145.99609375,63
40751.953125,63
41033.69140625,63
42399.4140625,63
42511.23046875,63
42615.234375,63
43324.70703125,63
43495.60546875,63
43895.01953125,63
43972.16796875,63
44051.7578125,63
44089.84375,63
45232.421875,63
45242.1875,63
46489.74609375,63
47124.0234375,63
47129.8828125,63
47130.859375,63
47131.8359375,63
47137.6953125,63
47138.671875,63
50235.83984375,63
50245.60546875,63
50256.8359375,63
50265.13671875,63
50266.6015625,63
50278.3203125,63
50291.015625,63
50303.22265625,63
50314.453125,63
52305.6640625,63
52371.09375,63
52382.32421875,63
52391.6015625,63
52404.296875,63
52416.9921875,63
52429.19921875,63
52439.453125,63
55424.8046875,63
55426.26953125,63
55436.5234375,63
55437.5,63
55437.98828125,63
55438.4765625,63
55439.453125,63
55449.70703125,63
55450.68359375,63
55451.66015625,63
55462.890625,63
58604.98046875,63
58605.95703125,63
58614.2578125,63
58615.72265625,63
58625.0,63
58626.46484375,63
61547.36328125,63
61559.08203125,63
61560.05859375,63
61561.5234375,63
61567.3828125,63
61573.73046875,63
64027.34375,63
64049.8046875,63
64062.5,63
64072.265625,63
64073.73046875,63
64081.54296875,63
64083.0078125,63
64095.21484375,63
64107.91015625,63
64120.1171875,63
64130.37109375,63
67524.4140625,63
67525.87890625,63
67535.64453125,63
67540.0390625,63
67541.9921875,63
67553.7109375,63
67554.6875,63
67555.6640625,63
67560.546875,63
67569.82421875,63
67570.3125,63
67570.80078125,63
67571.2890625,63
67571.77734375,63
67572.265625,63
67572.75390625,63
67573.2421875,63
67574.21875,63
67582.03125,63
67583.0078125,63
67583.984375,63
67584.9609375,63
67594.23828125,63
67595.703125,63
67608.88671875,63
69072.75390625,63
70453.61328125,63
77441.40625,63
77442.3828125,63
77453.125,63
77455.078125,63
86072.265625,63
86073.2421875,63
86079.58984375,63
86080.56640625,63
86086.9140625,63
86088.8671875,63
86408.69140625,63
86481.93359375,63
86921.875,63
87102.05078125,63
87609.375,63
87618.1640625,63
87788.0859375,63
87796.38671875,63
88306.15234375,63
88460.9375,63
88470.703125,63
88482.91015625,63
88495.1171875,63
90936.5234375,63
90937.5,63
90943.359375,63
90944.3359375,63
90950.68359375,63
90951.66015625,63
94899.4140625,63
96008.30078125,63
96014.16015625,63
96015.13671875,63
96021.484375,63
96022.4609375,63
96082.03125,63
97023.92578125,63
97039.55078125,63
97458.49609375,63
98318.84765625,63
98343.26171875,63
98571.2890625,63
98572.265625,63
98579.1015625,63
98580.56640625,63
98582.51953125,63
98590.8203125,63
98591.796875,63
98593.26171875,63
98603.515625,63
100804.6875,63
101208.49609375,63
101219.7265625,63
101231.4453125,63
101243.1640625,63
101245.1171875,63
101254.8828125,63
101255.859375,63
101267.578125,63
101269.53125,63
101279.296875,63
104884.27734375,63
104895.5078125,63
104896.97265625,63
104908.69140625,63
104910.64453125,63
106131.34765625,63
108538.57421875,63
108539.55078125,63
108546.38671875,63
108552.734375,63
108553.7109375,63
108561.5234375,63
111661.62109375,63
111666.9921875,63
111672.8515625,63
111673.828125,63
111680.6640625,63
111681.640625,63
114577.63671875,63
114586.9140625,63
114587.890625,63
118989.2578125,63
118990.234375,63
118998.046875,63
118999.51171875,63
119009.765625,63
119011.23046875,63
